,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.7978067132036901,0.0016628852814170713,0.5644578623091181,0.003433016254947959,0.8137920551068959,0.0029473945655541733,0.912232405005482,0.0011635316692905232,0.7345492565055762,0.005261405150452871,0.8808583718677603,0.0015378253948543407,0.9413018775499807,0.0007257528051734301
avalon,0.8224733748475106,0.0016830629270365013,0.621067720499343,0.0032442107637223046,0.8562049116376645,0.0012506245522205374,0.9051400514314869,0.0013562617965191444,0.8122908921933085,0.0015471256333258734,0.9076934545664462,0.0004918076871999028,0.9546776249160157,0.0003199996369880421
tt,0.795624571289468,0.0018192636668034686,0.5591989910241772,0.0034345407471316628,0.8028452452394378,0.0015010846767847554,0.9207161569771367,0.001971871567095091,0.7117332713754647,0.0020840961507053203,0.8701570115183059,0.0006514902438171126,0.9363896092691423,0.0002822218452309456
maccs,0.798390321944631,0.002182434204833026,0.5873494113210855,0.0038076195245929584,0.8555267057646405,0.0012269264182417205,0.8716119018762829,0.0021993222054708886,0.840032527881041,0.0023059285828623674,0.8889753372593597,0.0010625378148699527,0.943050173892017,0.0006268204292911349
fcfp,0.8038535611837844,0.0008568240879732652,0.5760627207673348,0.0017101507982979426,0.8191789802058056,0.0012084443714646777,0.9163252398854015,0.0006700891279689458,0.7406598513011152,0.002076310930552871,0.8884748177131307,0.00046177535644510633,0.9446287314594526,0.00020857111257265352
ap,0.8061959283535565,0.0007690829189194381,0.5812415417020593,0.0014208484867841626,0.8242509090394764,0.0007822685431679151,0.9145477578098771,0.0011440324071166552,0.750185873605948,0.001656974844765378,0.8963845853944689,0.0006362820208963854,0.9487342574577908,0.00033590288766587284
rdkit,0.8207715903505324,0.000964780248653588,0.613193252818202,0.0019372003583064954,0.8467802436308792,0.0008972627411128904,0.9129320896855448,0.0005423137530032916,0.7895678438661711,0.0011769447157912488,0.903678622879899,0.0002716764896462896,0.9527889737181567,0.00015131575357785334
map4,0.8043434850006494,0.0004887709508821402,0.5839369569371147,0.0009883181200731684,0.8393762098239337,0.0004570422436088823,0.8955034539951445,0.0002988442642031637,0.7898698884758365,0.0006337445026480434,0.8907605186888079,0.0005482490862781335,0.9461682427645997,0.00029514598443039036
mhfp,0.822354110548741,0.0005595439543468684,0.6220481449339459,0.0012261083441823728,0.8579127968434312,0.0006150300673304596,0.9031022824863042,0.00024823277365561107,0.8170306691449815,0.0009993407605765176,0.9082318789151671,0.000281601960733775,0.9555109772595944,0.00014276406579979747
pubchem,0.8181945837517859,0.00044373899968080797,0.6077011499696711,0.0008436368820651462,0.8436734324995779,0.0005463241592655964,0.9123118685519047,0.0006887005973410426,0.7846421933085501,0.001243409680321507,0.902153509038152,0.00018357426021492569,0.9514541603761861,9.718870851922427e-05
daylight,0.7928934119500727,0.0011079933204403516,0.5552447659874585,0.002108000931930008,0.8108069856610948,0.0009460404439135667,0.907391436495453,0.0009758263671105991,0.7328066914498141,0.0012250396214186074,0.8829378434459498,0.0003289103990624352,0.941761802022888,0.00024095281439134064
kr,0.804301444308804,0.0007156879986229539,0.5812246555831717,0.0013316659325131154,0.8337412990583261,0.0004519233085271945,0.9012692291711495,0.0006666609207060067,0.7756273234200743,0.00042588993447543967,0.8890564526877605,0.0001454520716346904,0.9448192716311127,9.616741950368289e-05
lingo,0.7894273987203203,0.0008439299428349453,0.5546118749042166,0.0015043400928365484,0.8271915985100187,0.0004961151287678036,0.885526494236496,0.0009684210570087559,0.7760687732342006,0.0009076219788394497,0.8792159303527904,0.00036091734290015113,0.9391180215357757,0.00020248032428859004
estate,0.674341878927901,0.002102787155845019,0.33509269332923286,0.0048229953279102684,0.7481565436296479,0.005272356537518308,0.7951593418752878,0.0017373230270994046,0.7064823420074349,0.010166018267032936,0.7556198777580732,0.0014279226796659196,0.8568787401099971,0.001308319085285303
dfs,0.803898822510444,0.000687247720288284,0.5756443025915835,0.001243135468688181,0.8163471358826511,0.0007553933777622616,0.9195994991323315,0.0013495659742654477,0.7339451672862453,0.0018256227955913936,0.883662929315396,0.0005115834322674541,0.9435217481325975,0.0003172132148117587
asp,0.8044824232926497,0.0011068326380988933,0.5758927097104121,0.0021074185379445767,0.8085807046666715,0.00118382026509824,0.9296259849814751,0.0007991238761297081,0.7154275092936804,0.0016323576273466736,0.8869981990974158,0.00023643042203426443,0.9443903245449677,0.00010203751651827761
lstar,0.7929698158072789,0.0008891080563471363,0.5561852432326553,0.0016134126421061454,0.8146454513249669,0.0011111692770470207,0.9034740439296082,0.0016014433172270534,0.7417286245353161,0.0025719746001179713,0.875536665468258,0.0003542356153592786,0.9380097684226367,0.0002967121115232641
rad2d,0.8334219706507315,0.0012202437541085128,0.640330732983541,0.0021687207628170776,0.8612012781978345,0.0006529392104775684,0.9165880017533583,0.0013149851193409719,0.8121282527881041,0.0008128650411029884,0.9088385573763255,0.00015541475150514323,0.9557070552298196,0.0001371211813034919
ph2,0.5586876411879611,0.00020204194362456336,0.18301820443868438,0.001494055852654241,0.7961584726575854,0.0005028948619357623,0.6920423623716326,7.508668432658691e-05,0.9371514869888475,0.0013122696325690369,0.5589654885899329,3.912753784338428e-05,0.689679841499016,7.106429641337262e-05
ph3,0.6394799104546793,0.0007644009773438513,0.30072158499580653,0.000724579769834421,0.7882214729574721,0.001002597492462852,0.7470547816146821,0.000854886382724855,0.834200743494424,0.003250629926631985,0.7000363979486414,0.0012851739280995964,0.8101050099515772,0.0008966856898332268
