,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.06667480157652995,0.06609081629650994,0.7141052631578947,0.02401846012118177,0.1104215255498461,0.009626277896399136,0.09857142857142857,0.051140063770482136,0.16,0.08,0.9242105263157896,0.010313641022244953
fcfp,0.2873864172117938,0.05420130049164468,0.8901052631578947,0.01560737094134796,0.22856899636311398,0.0209049393691492,0.20978021978021982,0.03256605967822674,0.5599999999999999,0.07999999999999999,0.8884210526315789,0.010734777923353235
estate,0.15659276851959097,0.008060746062435786,0.6648421052631579,0.0377165400868357,0.12116495452342724,0.02208894277773226,0.13019607843137254,0.006274509803921568,0.4,0.0,0.8589473684210527,0.008421052631578973
pubchem,0.21263260092765476,0.0,0.8753684210526316,0.017123957395926547,0.2217069850227745,0.02567543909835825,0.18181818181818182,0.0,0.4,0.0,0.9052631578947368,1.1102230246251565e-16
rdkit,0.15059944514372803,0.1111610728401249,0.8463157894736841,0.002977291710259172,0.2139223468723356,0.017950744532106638,0.18714285714285714,0.0990155625780769,0.2,0.1264911064067352,0.9578947368421054,0.006657426652986083
rad2d,0.42204918170938555,0.15992478850327366,0.919157894736842,0.02482425763870935,0.416546808196963,0.09522350071089829,0.3370629370629371,0.13611417023313976,0.64,0.14966629547095767,0.9263157894736842,0.02662970661194423
ap,0.0,0.0,0.9107368421052632,0.01899876071187952,0.35924060150375936,0.0692575526203185,0.0,0.0,0.0,0.0,1.0,0.0
ph2,0.1927218211215434,0.02126698441250786,0.7378947368421052,0.00842105263157893,0.0919312169312169,0.0013227513227513199,0.08571428571428572,0.007142857142857145,1.0,0.0,0.4336842105263158,0.05894736842105264
maccs,0.20840567709111574,0.04251731535552507,0.8896842105263157,0.006603952480571831,0.327350165830042,0.049489697369105065,0.16647352647352648,0.02114765958126252,0.43999999999999995,0.07999999999999999,0.8842105263157896,0.011531001210635071
mhfp,0.22961551836796668,0.20384151045043855,0.7810526315789474,0.0908927711365175,0.2927590041169898,0.07151796127843724,0.5,0.4472135954999579,0.12000000000000002,0.09797958971132713,0.9957894736842106,0.005156820511122496
lstar,0.14435790675544272,0.004760130601290715,0.8294736842105264,0.0077638269114045635,0.19093591506053914,0.014424713034883267,0.12058823529411763,0.003602190798210557,0.4,0.0,0.8463157894736841,0.005156820511122496
daylight,-0.028458177626814428,0.007034935831935156,0.6463157894736842,0.0257841025556124,0.08849646932826462,0.008289433857106301,0.0,0.0,0.0,0.0,0.983157894736842,0.008421052631578923
lingo,0.17523433084607223,0.2146173479954639,0.7877894736842107,0.0195868687993482,0.5921152310683103,0.034711982198473115,0.4,0.48989794855663565,0.08,0.09797958971132714,1.0,0.0
dfs,0.05853743512021288,0.006868396567012279,0.6837894736842105,0.03934984081669419,0.12537266682767018,0.013622572911826432,0.08508158508158507,0.00530271010073535,0.2,0.0,0.8863157894736842,0.007877173445839866
asp,0.12616130231140985,0.13453004945138278,0.7197894736842105,0.09594643011349374,0.15570075176019654,0.10187706958838141,0.12460925039872409,0.07388601651448257,0.32,0.20396078054371142,0.8694736842105263,0.04136185832502842
ecfp,0.3808367308311115,0.07011553706571684,0.8833684210526316,0.004534875627060661,0.4473311440394493,0.019179315550742773,0.8,0.2449489742783178,0.2,0.0,0.9957894736842106,0.005156820511122496
avalon,-0.009222859518214329,0.0112956498944981,0.8816842105263157,0.008142770360342623,0.27099844137575085,0.0163530304984718,0.0,0.0,0.0,0.0,0.9957894736842106,0.005156820511122496
ph3,0.34448689258320403,0.015319649475328838,0.8711578947368421,0.013005006493878342,0.1950597825113954,0.00978866427260044,0.162960615280595,0.009903123720516958,1.0,0.0,0.7284210526315789,0.020411283610173993
tt,0.28588249931489257,0.06301347675974518,0.8336842105263157,0.03365788444919805,0.30761843106359055,0.09701282450520142,0.29825396825396827,0.06300687633190968,0.36000000000000004,0.08,0.9536842105263158,0.015754346891679764
kr,0.29496308640500796,0.0,0.7612631578947369,0.01425373547773534,0.2606519863057666,0.023923975359844734,0.5,0.0,0.2,0.0,0.9894736842105264,1.1102230246251565e-16
